text,label
professional logo design ethiopian civil service university consultancy,CAT-07
purchase requisition hawassa university goods,CAT-05
fly wheel hydraulic pump addis ababa road authority goods,CAT-02
institute foreign affairs nonconsultancy services,CAT-08
procurement ups st paul hospital millennium medical goods,CAT-04
procurement ict equipment jimma university goods,CAT-01
supply computers network equipment ministry,CAT-01
construction road bridge civil works,CAT-03
office furniture chairs desks stationery,CAT-05
vehicle truck transport fuel procurement,CAT-06
medical laboratory diagnostic equipment hospital,CAT-04
software development it system consulting,CAT-07
arduino sensors motors electronic components,CAT-02
training management consultancy service staff,CAT-07
building construction foundation concrete,CAT-03